H_estimate,H_error,mu,sigma,T
-0.449014,0.00363322,0.805559,0.622806,0.01
-0.444518,0.00355299,0.795651,0.618511,0.01
-0.442298,0.00356556,0.791286,0.617657,0.01
-0.449389,0.00274051,0.795912,0.624167,0.01
-0.447377,0.00288344,0.79403,0.61829,0.01
-0.453145,0.00321053,0.804585,0.60895,0.01
-0.442069,0.00329676,0.817893,0.595088,0.01
-0.435559,0.003735,0.832284,0.594235,0.01
-0.44513,0.00360761,0.824631,0.598798,0.01
-0.440935,0.00363031,0.827039,0.608148,0.01
-0.447098,0.00408505,0.825266,0.614474,0.01
-0.446869,0.00314998,0.825266,0.614474,0.01
-0.440801,0.00421408,0.815129,0.609195,0.01
-0.446057,0.00298719,0.825296,0.610052,0.01
-0.441963,0.00360581,0.828418,0.617193,0.01
-0.444843,0.00373031,0.830385,0.617813,0.01
-0.433471,0.00417476,0.837381,0.614424,0.01
-0.435716,0.00394014,0.838295,0.612379,0.01
-0.439379,0.00453143,0.840569,0.625133,0.01
-0.438741,0.00369363,0.840569,0.625133,0.01
-0.440905,0.00388056,0.836683,0.624212,0.01
-0.441541,0.00414186,0.838258,0.633259,0.01
-0.44189,0.00374284,0.817452,0.633098,0.01
-0.443076,0.0044943,0.817452,0.633098,0.01
-0.440174,0.00402541,0.812791,0.636696,0.01
-0.441211,0.00442097,0.808644,0.642975,0.01
-0.439777,0.00435625,0.808644,0.642975,0.01
-0.440999,0.00400568,0.801055,0.642213,0.01
-0.44352,0.00361281,0.788324,0.643575,0.01
-0.44167,0.00405362,0.805667,0.652841,0.01
-0.436871,0.0044777,0.819993,0.655482,0.01
-0.435,0.00469015,0.819993,0.655482,0.01
-0.441318,0.00375051,0.819377,0.645817,0.01
-0.442517,0.00446926,0.809063,0.647466,0.01
-0.438672,0.00435808,0.801741,0.650459,0.01
-0.439745,0.00381833,0.801741,0.650459,0.01
-0.434766,0.00463378,0.801741,0.650459,0.01
-0.433119,0.0041626,0.801741,0.650459,0.01
-0.436928,0.00430311,0.816319,0.648685,0.01
-0.43703,0.00401731,0.812129,0.647761,0.01
-0.437405,0.00402988,0.812129,0.647761,0.01
-0.433444,0.00482321,0.817606,0.646243,0.01
-0.443949,0.00356624,0.813648,0.647097,0.01
-0.441145,0.00378123,0.793821,0.647062,0.01
-0.447341,0.00336784,0.786346,0.650167,0.01
-0.441618,0.0043887,0.79687,0.6436,0.01
-0.444504,0.00389841,0.79687,0.6436,0.01
-0.444019,0.0038256,0.804498,0.642494,0.01
-0.442096,0.00396663,0.79778,0.640316,0.01
-0.441847,0.00410849,0.795146,0.649878,0.01
-0.444678,0.00369395,0.795146,0.649878,0.01
-0.430093,0.00560013,0.807635,0.653048,0.01
-0.439125,0.00394327,0.796981,0.661342,0.01
-0.427285,0.00536098,0.786003,0.657263,0.01
-0.432218,0.00540053,0.789445,0.659895,0.01
-0.435447,0.00396788,0.789238,0.656251,0.01
-0.437538,0.00394066,0.777415,0.649929,0.01
-0.433448,0.00351539,0.765994,0.652532,0.01
-0.436668,0.00419618,0.765994,0.652532,0.01
-0.437455,0.00379188,0.772743,0.6471,0.01
-0.434955,0.00401669,0.780151,0.650119,0.01
-0.438473,0.00332186,0.780151,0.650119,0.01
-0.434402,0.00422973,0.778197,0.655284,0.01
-0.433249,0.00433978,0.767393,0.659089,0.01
-0.430554,0.00456198,0.76511,0.661331,0.01
-0.431612,0.00452052,0.771959,0.656712,0.01
-0.438619,0.00405905,0.769615,0.648896,0.01
-0.437429,0.00354865,0.766701,0.657671,0.01
-0.424246,0.00500757,0.773783,0.667512,0.01
-0.424825,0.00528694,0.78191,0.666943,0.01
-0.441993,0.00449878,0.794233,0.652944,0.01
-0.441844,0.00409013,0.794233,0.652944,0.01
-0.44135,0.00392258,0.794233,0.652944,0.01
-0.438035,0.00424334,0.790551,0.655988,0.01
